# Others ndvi_mean_0 ndvi_mean_1 ndvi_mean_2 ndvi_mean_3 ndvi_mean_4 ndvi_mean_5 ndvi_mean_6 ndvi_mean_7 ndvi_mean_8 ndvi_mean_9 ndvi_mean_10 ndvi_mean_11
1.000000 0.281702 0.231924 0.220075 0.579052 0.675566 0.687607 0.753253 0.630598 0.567380 0.505470 0.586319 0.546532
1.000000 0.246036 0.246205 0.212623 0.401875 0.569326 0.520285 0.710469 0.552704 0.469988 0.441388 0.500418 0.436096
1.000000 0.284475 0.242944 0.241079 0.577124 0.603454 0.520187 0.662634 0.614186 0.570367 0.535543 0.622324 0.524864
1.000000 0.253841 0.217056 0.240347 0.404746 0.436256 0.538603 0.688337 0.574286 0.487228 0.435119 0.539302 0.509693
1.000000 0.266533 0.213790 0.268892 0.532601 0.563097 0.620224 0.705514 0.612652 0.538403 0.500778 0.557680 0.489042
1.000000 0.544094 0.561766 0.653777 0.275304 0.763899 0.759528 0.795371 0.637678 0.686043 0.665440 0.646806 0.620960
1.000000 0.445821 0.387758 0.365450 0.340724 0.574707 0.676633 0.712821 0.624426 0.625076 0.600411 0.534755 0.506772
1.000000 0.535685 0.477174 0.428351 0.422812 0.669348 0.757934 0.817191 0.689847 0.630890 0.675965 0.613466 0.609957
1.000000 0.525364 0.437634 0.485015 0.404699 0.691802 0.672945 0.789180 0.612096 0.601137 0.610317 0.575464 0.568848
1.000000 0.225205 0.218208 0.273304 0.253184 0.377669 0.494561 0.709560 0.551250 0.542429 0.593427 0.605361 0.531205
1.000000 0.292776 0.258818 0.219895 0.245351 0.391882 0.527473 0.677076 0.628278 0.525699 0.492796 0.454662 0.376850
1.000000 0.370708 0.277347 0.298867 0.592361 0.648789 0.612978 0.735604 0.719573 0.618728 0.618288 0.586157 0.534368
1.000000 0.299691 0.247220 0.234124 0.333897 0.498066 0.757038 0.816816 0.818421 0.617622 0.599204 0.516311 0.419863
1.000000 0.301748 0.255111 0.265891 0.482137 0.520507 0.623882 0.702099 0.633840 0.576312 0.622829 0.578788 0.552216
1.000000 0.280108 0.228245 0.219492 0.373642 0.586330 0.647604 0.785514 0.784244 0.647503 0.641211 0.572125 0.419924
1.000000 0.286215 0.245720 0.226545 0.364626 0.575522 0.732285 0.747718 0.780620 0.639373 0.642384 0.582686 0.458553
1.000000 0.353445 0.290701 0.297950 0.279868 0.549354 0.782925 0.788762 0.771655 0.745952 0.710775 0.533718 0.401164
1.000000 0.369855 0.350135 0.298118 0.478698 0.598245 0.660019 0.715963 0.661265 0.626716 0.470761 0.569451 0.590419
1.000000 0.463800 0.387616 0.361029 0.599587 0.617287 0.691976 0.707886 0.619143 0.639907 0.526092 0.560098 0.565496
1.000000 0.535419 0.348961 0.349132 0.600808 0.670485 0.696664 0.691080 0.671114 0.645423 0.486079 0.603126 0.577216
1.000000 0.267672 0.197505 0.181936 0.652115 0.704114 0.546492 0.749748 0.690757 0.667373 0.451299 0.469270 0.334107
1.000000 0.267504 0.221263 0.215523 0.349893 0.578158 0.484219 0.774961 0.687041 0.623111 0.483456 0.469504 0.349609
1.000000 0.373771 0.359305 0.285858 0.605567 0.540397 0.701972 0.692083 0.663042 0.680772 0.556936 0.641068 0.556282
1.000000 0.250144 0.265197 0.261242 0.620297 0.610796 0.519474 0.774779 0.662479 0.615497 0.523545 0.610866 0.480472
